datetime date price_m1 price_m2 price_m3 p1_charge_mw p1_discharge_mw p2_charge_mw p2_discharge_mw p3_charge_mw p3_discharge_mw soc_mwh revenue_m1 revenue_m2 revenue_m3 total_revenue p_charge p_discharge
"2018-01-01 00:00:00" 2018-01-01 48.47 52.18 48.6 2.0 0.0 0.0 0.0 0.0 0.0 1.95 -48.47 0.0 0.0 -48.47 2.0 0.0
"2018-01-01 00:30:00" 2018-01-01 49.81 51.6 48.6 0.0 0.0 0.0 0.0 0.0 0.0 1.95 0.0 0.0 0.0 0.0 0.0 0.0
"2018-01-01 01:00:00" 2018-01-01 53.65 55.14 48.6 0.0 0.0 0.0 1.705 0.0 0.0 1.0526316 0.0 47.00685 0.0 47.00685 0.0 1.705
"2018-01-01 01:30:00" 2018-01-01 52.48 55.84 48.6 0.0 0.0 0.0 2.0 0.0 0.0 0.0 0.0 55.84 0.0 55.84 0.0 2.0
"2018-01-01 02:00:00" 2018-01-01 47.25 49.96 48.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
"2018-01-01 02:30:00" 2018-01-01 47.18 52.16 48.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
"2018-01-01 03:00:00" 2018-01-01 40.24 47.12 48.6 2.0 0.0 0.0 1.805 0.0 0.0 0.0 -40.24 42.5258 0.0 2.2857999999999947 2.0 1.805
"2018-01-01 03:30:00" 2018-01-01 38.56 42.4 48.6 2.0 0.0 0.0 0.0 0.0 0.0 0.95 -38.56 0.0 0.0 -38.56 2.0 0.0
"2018-01-01 04:00:00" 2018-01-01 37.55 38.9 48.6 2.0 0.0 0.0 0.0 0.0 0.0 1.9 -37.55 0.0 0.0 -37.55 2.0 0.0
"2018-01-01 04:30:00" 2018-01-01 36.56 41.24 48.6 2.0 0.0 0.0 0.0 0.0 0.0 2.85 -36.56 0.0 0.0 -36.56 2.0 0.0
"2018-01-01 05:00:00" 2018-01-01 39.25 42.51 48.6 2.0 0.0 0.0 0.0 0.0 0.0 3.8 -39.25 0.0 0.0 -39.25 2.0 0.0
"2018-01-01 05:30:00" 2018-01-01 41.23 46.33 48.6 2.0 0.0 0.0 1.425 0.0 0.0 4.0 -41.23 33.010125 0.0 -8.219874999999995 2.0 1.425
"2018-01-01 06:00:00" 2018-01-01 45.68 52.32 48.6 0.0 0.0 0.0 2.0 0.0 0.0 2.9473684 0.0 52.32 0.0 52.32 0.0 2.0
"2018-01-01 06:30:00" 2018-01-01 44.83 48.27 48.6 0.64819945 0.0 0.0 0.0 0.0 0.0 3.2552632 -14.529390671749999 0.0 0.0 -14.529390671749999 0.64819945 0.0
"2018-01-01 07:00:00" 2018-01-01 48.87 53.35 48.6 0.0 0.0 0.0 2.0 0.0 0.0 2.2026316 0.0 53.35 0.0 53.35 0.0 2.0
"2018-01-01 07:30:00" 2018-01-01 50.73 50.94 48.6 0.0 0.0 0.0 2.0 0.0 0.0 1.15 0.0 50.94 0.0 50.94 0.0 2.0
"2018-01-01 08:00:00" 2018-01-01 45.01 47.7 48.6 0.0 0.0 0.0 0.0 0.0 0.0 1.15 0.0 0.0 0.0 0.0 0.0 0.0
"2018-01-01 08:30:00" 2018-01-01 48.87 48.96 48.6 0.0 0.0 0.0 0.0 0.0 0.0 1.15 0.0 0.0 0.0 0.0 0.0 0.0
"2018-01-01 09:00:00" 2018-01-01 44.41 45.16 48.6 2.0 0.0 0.0 0.0 0.0 0.0 2.1 -44.41 0.0 0.0 -44.41 2.0 0.0
"2018-01-01 09:30:00" 2018-01-01 42.59 44.03 48.6 2.0 0.0 0.0 0.0 0.0 0.0 3.05 -42.59 0.0 0.0 -42.59 2.0 0.0
"2018-01-01 10:00:00" 2018-01-01 46.15 47.4 48.6 0.0 0.0 0.0 0.0 0.0 0.0 3.05 0.0 0.0 0.0 0.0 0.0 0.0
"2018-01-01 10:30:00" 2018-01-01 46.19 41.34 48.6 0.0 0.0 2.0 0.0 0.0 0.0 4.0 0.0 -41.34 0.0 -41.34 2.0 0.0
"2018-01-01 11:00:00" 2018-01-01 54.83 51.46 48.6 0.0 0.0 0.0 0.0 0.0 0.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0
"2018-01-01 11:30:00" 2018-01-01 60.57 59.84 48.6 0.0 2.0 0.0 0.0 0.0 0.0 2.9473684 60.57 0.0 0.0 60.57 0.0 2.0
"2018-01-01 12:00:00" 2018-01-01 58.75 60.6 48.6 0.0 0.0 0.0 2.0 0.0 0.0 1.8947368 0.0 60.6 0.0 60.6 0.0 2.0
"2018-01-01 12:30:00" 2018-01-01 59.88 55.7 48.6 0.0 0.0 0.0 0.0 0.0 0.0 1.8947368 0.0 0.0 0.0 0.0 0.0 0.0
"2018-01-01 13:00:00" 2018-01-01 58.03 54.58 48.6 0.0 0.0 0.43213296 0.0 0.0 0.0 2.1 0.0 -11.7929084784 0.0 -11.7929084784 0.43213296 0.0
"2018-01-01 13:30:00" 2018-01-01 59.72 57.71 48.6 0.0 0.0 0.0 0.0 0.0 0.0 2.1 0.0 0.0 0.0 0.0 0.0 0.0
"2018-01-01 14:00:00" 2018-01-01 55.94 52.57 48.6 0.0 0.0 2.0 0.0 0.0 0.0 3.05 0.0 -52.57 0.0 -52.57 2.0 0.0
"2018-01-01 14:30:00" 2018-01-01 52.55 59.08 48.6 2.0 0.0 0.0 0.0 0.0 0.0 4.0 -52.55 0.0 0.0 -52.55 2.0 0.0
"2018-01-01 15:00:00" 2018-01-01 59.43 69.78 48.6 2.0 0.0 0.0 2.0 0.0 0.0 3.8973684 -59.43 69.78 0.0 10.350000000000001 2.0 2.0
"2018-01-01 15:30:00" 2018-01-01 61.01 69.28 48.6 2.0 0.0 0.0 2.0 0.0 0.0 3.7947368 -61.01 69.28 0.0 8.270000000000003 2.0 2.0
"2018-01-01 16:00:00" 2018-01-01 63.07 74.56 48.6 0.0 0.0 0.0 2.0 0.0 0.0 2.7421053 0.0 74.56 0.0 74.56 0.0 2.0
"2018-01-01 16:30:00" 2018-01-01 64.91 71.87 48.6 0.0 0.0 0.0 2.0 0.0 0.0 1.6894737 0.0 71.87 0.0 71.87 0.0 2.0
"2018-01-01 17:00:00" 2018-01-01 63.27 72.77 48.6 0.0 0.0 0.0 2.0 0.0 0.0 0.63684211 0.0 72.77 0.0 72.77 0.0 2.0
"2018-01-01 17:30:00" 2018-01-01 61.55 70.17 48.6 0.87534626 0.0 0.0 2.0 0.0 0.0 0.0 -26.9387811515 70.17 0.0 43.231218848500006 0.87534626 2.0
"2018-01-01 18:00:00" 2018-01-01 58.82 64.53 48.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
"2018-01-01 18:30:00" 2018-01-01 55.67 62.36 48.6 2.0 0.0 0.0 1.805 0.0 0.0 0.0 -55.67 56.2799 0.0 0.6098999999999961 2.0 1.805
"2018-01-01 19:00:00" 2018-01-01 46.13 53.9 48.6 2.0 0.0 0.0 1.415 0.0 0.0 0.20526316 -46.13 38.13425 0.0 -7.995750000000001 2.0 1.415
"2018-01-01 19:30:00" 2018-01-01 47.03 53.72 48.6 2.0 0.0 0.0 0.0 0.0 0.0 1.1552632 -47.03 0.0 0.0 -47.03 2.0 0.0
"2018-01-01 20:00:00" 2018-01-01 48.91 59.55 48.6 0.0 0.0 0.0 2.0 0.0 0.0 0.10263158 0.0 59.55 0.0 59.55 0.0 2.0
"2018-01-01 20:30:00" 2018-01-01 45.87 56.0 48.6 2.0 0.0 0.0 2.0 0.0 0.0 0.0 -45.87 56.0 0.0 10.130000000000003 2.0 2.0
"2018-01-01 21:00:00" 2018-01-01 46.95 51.97 48.6 0.64819945 0.0 0.0 0.0 0.0 0.0 0.30789474 -15.21648208875 0.0 0.0 -15.21648208875 0.64819945 0.0
"2018-01-01 21:30:00" 2018-01-01 46.71 53.69 48.6 2.0 0.0 0.0 2.0 0.0 0.0 0.20526316 -46.71 53.69 0.0 6.979999999999997 2.0 2.0
"2018-01-01 22:00:00" 2018-01-01 46.08 52.36 48.6 2.0 0.0 0.0 2.0 0.0 0.0 0.10263158 -46.08 52.36 0.0 6.280000000000001 2.0 2.0
"2018-01-01 22:30:00" 2018-01-01 45.77 52.16 48.6 2.0 0.0 0.0 2.0 0.0 0.0 0.0 -45.77 52.16 0.0 6.3899999999999935 2.0 2.0
"2018-01-01 23:00:00" 2018-01-01 45.25 47.28 48.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
"2018-01-01 23:30:00" 2018-01-01 39.33 41.08 48.6 2.0 0.0 0.0 0.0 0.0 0.0 0.95 -39.33 0.0 0.0 -39.33 2.0 0.0
"2018-01-02 00:00:00" 2018-01-02 40.23 46.73 49.599999999999994 2.0 0.0 0.0 2.0 0.0 0.0 0.84736842 -40.23 46.73 0.0 6.5 2.0 2.0
"2018-01-02 00:30:00" 2018-01-02 40.6 44.0 49.599999999999994 0.8531856 0.0 0.0 0.0 0.0 0.0 1.2526316 -17.319667680000002 0.0 0.0 -17.319667680000002 0.8531856 0.0
"2018-01-02 01:00:00" 2018-01-02 38.95 45.09 49.599999999999994 2.0 0.0 0.0 2.0 0.0 0.0 1.15 -38.95 45.09 0.0 6.140000000000001 2.0 2.0
"2018-01-02 01:30:00" 2018-01-02 38.8 40.39 49.599999999999994 2.0 0.0 0.0 0.0 0.0 0.0 2.1 -38.8 0.0 0.0 -38.8 2.0 0.0
"2018-01-02 02:00:00" 2018-01-02 37.28 43.9 49.599999999999994 2.0 0.0 0.0 0.0 0.0 0.0 3.05 -37.28 0.0 0.0 -37.28 2.0 0.0
"2018-01-02 02:30:00" 2018-01-02 37.66 41.94 49.599999999999994 2.0 0.0 0.0 0.0 0.0 0.0 4.0 -37.66 0.0 0.0 -37.66 2.0 0.0
"2018-01-02 03:00:00" 2018-01-02 41.06 42.83 49.599999999999994 0.0 0.0 0.0 0.0 0.0 0.0 4.0 0.0 0.0 0.0 0.0 0.0 0.0
"2018-01-02 03:30:00" 2018-01-02 44.07 50.99 49.599999999999994 0.0 0.0 0.0 2.0 0.0 0.0 2.9473684 0.0 50.99 0.0 50.99 0.0 2.0
"2018-01-02 04:00:00" 2018-01-02 42.21 45.7 49.599999999999994 2.0 0.0 0.0 0.0 0.0 0.0 3.8973684 -42.21 0.0 0.0 -42.21 2.0 0.0
